# it strain shortening ε_f δT D θ θc
1 0.000000e+00 0.000000e+00 1.446265e+00 5.684342e-14 6.190825e+03 4.500000e+01 4.486427e+01
2 1.770244e-03 1.768678e-01 1.494998e+00 1.723227e+00 6.002982e+03 4.510143e+01 4.496570e+01
3 3.539646e-03 3.533389e-01 1.542616e+00 3.406799e+00 5.759977e+03 4.520281e+01 4.506708e+01
4 5.308184e-03 5.294120e-01 1.592383e+00 5.061242e+00 5.528441e+03 4.530413e+01 4.516841e+01
5 7.075837e-03 7.050863e-01 1.644480e+00 6.683756e+00 5.308807e+03 4.540540e+01 4.526968e+01
6 8.842586e-03 8.803605e-01 1.699096e+00 8.275643e+00 5.104114e+03 4.550662e+01 4.564233e+01
7 1.060841e-02 1.055234e+00 1.756441e+00 9.838050e+00 4.909444e+03 4.560777e+01 4.574348e+01
8 1.237328e-02 1.229705e+00 1.816718e+00 1.137196e+01 4.725538e+03 4.570886e+01 4.584457e+01
9 1.413719e-02 1.403773e+00 1.880159e+00 1.287818e+01 4.551790e+03 4.580989e+01 4.594559e+01
10 1.590012e-02 1.577438e+00 1.946999e+00 1.435735e+01 4.387454e+03 4.591086e+01 4.604655e+01
11 1.766203e-02 1.750697e+00 2.017502e+00 1.580994e+01 4.231753e+03 4.601175e+01 4.614743e+01
12 1.942292e-02 1.923551e+00 2.091976e+00 1.729156e+01 4.083598e+03 4.611257e+01 4.624825e+01
13 2.118276e-02 2.095998e+00 2.170575e+00 1.881140e+01 3.943592e+03 4.621332e+01 4.634898e+01
14 2.294153e-02 2.268037e+00 2.253374e+00 2.034462e+01 3.812445e+03 4.631399e+01 4.644965e+01
15 2.469921e-02 2.439668e+00 2.340682e+00 2.187555e+01 3.689057e+03 4.641459e+01 4.655023e+01
16 2.645579e-02 2.610890e+00 2.432948e+00 2.340527e+01 3.571857e+03 4.651510e+01 4.665073e+01
17 2.821124e-02 2.781702e+00 2.530483e+00 2.493479e+01 3.462872e+03 4.661553e+01 4.702238e+01
18 2.996555e-02 2.952103e+00 2.633572e+00 2.646491e+01 3.355486e+03 4.671587e+01 4.712268e+01
19 3.171869e-02 3.122092e+00 2.742593e+00 2.799643e+01 3.252653e+03 4.681613e+01 4.722289e+01
20 3.347064e-02 3.291670e+00 2.857872e+00 2.953503e+01 3.153805e+03 4.691630e+01 4.732301e+01
21 3.522139e-02 3.460834e+00 2.979586e+00 3.110290e+01 3.059441e+03 4.701637e+01 4.742304e+01
22 3.697092e-02 3.629584e+00 3.107801e+00 3.269899e+01 2.969339e+03 4.711635e+01 4.752297e+01
23 3.871921e-02 3.797920e+00 3.243102e+00 3.430200e+01 2.883513e+03 4.721623e+01 4.789382e+01
24 4.046623e-02 3.965841e+00 3.386100e+00 3.591231e+01 2.800201e+03 4.731602e+01 4.799351e+01
25 4.221198e-02 4.133346e+00 3.537357e+00 3.753158e+01 2.719583e+03 4.741570e+01 4.809309e+01
26 4.395643e-02 4.300435e+00 3.697220e+00 3.915883e+01 2.641320e+03 4.751528e+01 4.819257e+01
27 4.569957e-02 4.467107e+00 3.866195e+00 4.079373e+01 2.565173e+03 4.761475e+01 4.856277e+01
28 4.744137e-02 4.633362e+00 4.044345e+00 4.249114e+01 2.491923e+03 4.771412e+01 4.866198e+01
29 4.918182e-02 4.799198e+00 4.231657e+00 4.420352e+01 2.421565e+03 4.781338e+01 4.876108e+01
30 5.092090e-02 4.964616e+00 4.429389e+00 4.592476e+01 2.352497e+03 4.791252e+01 4.913072e+01
31 5.265859e-02 5.129615e+00 4.638569e+00 4.765641e+01 2.286184e+03 4.801155e+01 4.922953e+01
32 5.439488e-02 5.294194e+00 4.859022e+00 4.939792e+01 2.221818e+03 4.811047e+01 4.932822e+01
33 5.612975e-02 5.458354e+00 5.091332e+00 5.115463e+01 2.158690e+03 4.820926e+01 4.969723e+01
34 5.786317e-02 5.622093e+00 5.334951e+00 5.297475e+01 2.098778e+03 4.830794e+01 4.979561e+01
35 5.959514e-02 5.785411e+00 5.590494e+00 5.480158e+01 2.040035e+03 4.840649e+01 5.016414e+01
36 6.132563e-02 5.948307e+00 5.859640e+00 5.663282e+01 1.984217e+03 4.850492e+01 5.026220e+01
37 6.305464e-02 6.110782e+00 6.140601e+00 5.846622e+01 1.930555e+03 4.860323e+01 5.036013e+01
38 6.478213e-02 6.272835e+00 6.432490e+00 6.029889e+01 1.878941e+03 4.870140e+01 5.045792e+01
39 6.650810e-02 6.434466e+00 6.735747e+00 6.217262e+01 1.829298e+03 4.879945e+01 5.055557e+01
40 6.823253e-02 6.595674e+00 7.049450e+00 6.405533e+01 1.781847e+03 4.889736e+01 5.065308e+01
41 6.995540e-02 6.756459e+00 7.373677e+00 6.592903e+01 1.736437e+03 4.899514e+01 5.075044e+01
42 7.167669e-02 6.916821e+00 7.707109e+00 6.778995e+01 1.693002e+03 4.909278e+01 5.084766e+01
43 7.339640e-02 7.076759e+00 8.047839e+00 6.963392e+01 1.651772e+03 4.919028e+01 5.094473e+01
44 7.511450e-02 7.236274e+00 8.394949e+00 7.149719e+01 1.612705e+03 4.928765e+01 5.104165e+01
45 7.683098e-02 7.395364e+00 8.746385e+00 7.336759e+01 1.575767e+03 4.938487e+01 5.113842e+01
46 7.854582e-02 7.554030e+00 9.099154e+00 7.521035e+01 1.541025e+03 4.948195e+01 5.123503e+01
47 8.025901e-02 7.712272e+00 9.452972e+00 7.701984e+01 1.507832e+03 4.957888e+01 5.160092e+01
